User ID,Clicks,Non-Clicks
U46778,"['N28081', 'N306', 'N58722', 'N2018', 'N19594', 'N25058', 'N41244', 'N25113', 'N54571']","['N12029', 'N26262', 'N4754']"
U19033,[],[]
U30,['N871'],"['N24272', 'N27845', 'N35671', 'N5442', 'N41881', 'N64273']"
U76070,"['N28088', 'N41298']",['N47933']
U54617,[],"['N16920', 'N58410', 'N30518', 'N55204']"
U14318,"['N28088', 'N9165', 'N63332']","['N48350', 'N54300', 'N20242', 'N26130', 'N22549', 'N23184', 'N50060', 'N55897', 'N24686', 'N23784', 'N49685', 'N23254', 'N54752', 'N15761', 'N46258', 'N40356', 'N49030', 'N1914', 'N61623', 'N21519', 'N16344', 'N26179']"
U59400,"['N29177', 'N26264', 'N20575', 'N20121', 'N64554', 'N833', 'N196', 'N26179']","['N43519', 'N21656', 'N41020', 'N32544', 'N60105', 'N31978']"
U57440,"['N63538', 'N24686']","['N6056', 'N26262', 'N61623', 'N33964', 'N8957', 'N5370', 'N59981', 'N35172', 'N55204', 'N53585']"
U36239,"['N41244', 'N21555']","['N27789', 'N26262', 'N17031', 'N41172', 'N4754', 'N3589', 'N33831', 'N59385', 'N4642', 'N41612', 'N21712', 'N62894']"
U19928,"['N13689', 'N14742', 'N62714', 'N42128', 'N39118', 'N2805', 'N10347']","['N27101', 'N12579', 'N39949', 'N38783']"
U11373,[],"['N33677', 'N12029', 'N14592']"
U12039,"['N1066', 'N62155', 'N21519', 'N41197', 'N14349', 'N30531']","['N20793', 'N496', 'N61760', 'N41165', 'N47087', 'N35393', 'N29212', 'N62894', 'N3841', 'N34185', 'N4754', 'N33831', 'N20614', 'N55723', 'N46736', 'N26262', 'N26110', 'N21030', 'N33576', 'N21701', 'N37793', 'N31395', 'N23824', 'N36408', 'N6056', 'N62318', 'N9621', 'N103', 'N36612', 'N48077', 'N6066', 'N59981', 'N45428']"
U47050,"['N29177', 'N55189']","['N13930', 'N55204', 'N33964', 'N30998']"
U14957,"['N52381', 'N48610', 'N60702']","['N61623', 'N24686', 'N49685', 'N35172', 'N31679', 'N26179', 'N23184', 'N50060']"
U55861,[],"['N17342', 'N61760', 'N60105', 'N31978']"
U23531,"['N14801', 'N36151']",[]
U63494,[],"['N24272', 'N27845', 'N8929', 'N5442', 'N41881', 'N6658', 'N41651', 'N38783']"
U15826,[],['N7754']
U90083,"['N45729', 'N39511', 'N49802', 'N36530', 'N26026', 'N3500']","['N30998', 'N13930', 'N8957', 'N55204', 'N53585', 'N30518']"
U67204,"['N26262', 'N306', 'N49040', 'N55204']","['N6056', 'N41172', 'N61623', 'N24686', 'N3697', 'N33964', 'N8957', 'N5370', 'N2823', 'N23254', 'N59981', 'N35172', 'N63538']"
U52388,"['N871', 'N58061', 'N62714', 'N45954', 'N63855']",[]
U71229,"['N29177', 'N28088', 'N48715']","['N27737', 'N59267', 'N33828']"
U60197,"['N26880', 'N41881', 'N279', 'N55897']","['N24272', 'N27845', 'N23784', 'N5442', 'N54300', 'N30295', 'N26130', 'N26319', 'N55582', 'N43001']"
U8429,"['N306', 'N3500']",['N13930']
U17112,[],"['N41020', 'N32544', 'N32182', 'N31978', 'N45422', 'N3344']"
U51258,[],[]
U9628,"['N49279', 'N61880']",[]
U30012,[],"['N4754', 'N49955']"
U6363,"['N58644', 'N40716', 'N9139', 'N46795']","['N6056', 'N61623', 'N24686', 'N30998', 'N13930', 'N33964', 'N8957', 'N5370', 'N16920', 'N51506', 'N35172', 'N55204', 'N63538', 'N53585']"
U57926,"['N29177', 'N14742', 'N43462', 'N44230', 'N51112', 'N55189', 'N32483', 'N21020', 'N47479', 'N5905', 'N46795', 'N27583', 'N29541', 'N40912', 'N44402', 'N56353']","['N24111', 'N31395', 'N41020', 'N32544', 'N32182', 'N62563', 'N33677', 'N3344']"
U40582,"['N306', 'N37811', 'N32312', 'N60702', 'N9824', 'N14742', 'N871', 'N55189', 'N49942', 'N47508', 'N52551', 'N23239', 'N29857', 'N53531', 'N1702', 'N6464', 'N46795', 'N5905']","['N59981', 'N63538']"
U83337,"['N29177', 'N28550', 'N871', 'N36699', 'N16965', 'N64536', 'N51388', 'N20290', 'N21815', 'N26947', 'N25889', 'N25450', 'N30531', 'N46978', 'N54571']","['N34185', 'N1539', 'N29212']"
U89402,[],"['N6056', 'N26262', 'N41172', 'N60932', 'N4754', 'N12029', 'N14592', 'N59385', 'N31978', 'N33677']"
U27564,"['N34997', 'N60105', 'N30531', 'N63019', 'N37069', 'N23614', 'N28992', 'N58309', 'N5270', 'N60029', 'N46063']","['N38337', 'N31978']"
U25083,"['N40716', 'N39950', 'N51569', 'N1603', 'N9226']","['N61623', 'N24686', 'N30998', 'N13930', 'N33964', 'N8957', 'N12523', 'N55204', 'N63538', 'N53585', 'N1914']"
U82589,"['N22345', 'N48699', 'N53531', 'N56518', 'N13923']","['N60992', 'N14592']"
U59924,"['N55189', 'N50372', 'N18881']","['N41020', 'N32544']"
U71601,['N53531'],"['N33964', 'N12523', 'N17140', 'N58410', 'N18698']"
U51831,"['N52858', 'N54522', 'N43677', 'N60105', 'N10843', 'N49998', 'N7171', 'N30429', 'N51462', 'N55582', 'N53224']",[]
U29953,"['N38675', 'N46795', 'N60702', 'N49040', 'N20575', 'N53531', 'N18557', 'N28088', 'N51705', 'N63726', 'N1581', 'N61186', 'N31599', 'N42528', 'N14349', 'N25113', 'N61708', 'N30682', 'N29857', 'N51818']","['N29212', 'N1539', 'N41387']"
U23728,"['N25091', 'N871', 'N36699', 'N23784', 'N4020', 'N35622', 'N60785', 'N64634', 'N3908', 'N1841', 'N30765', 'N5290', 'N30955', 'N21241']","['N24272', 'N27845', 'N59761', 'N52294', 'N5442', 'N26130', 'N41881', 'N31978', 'N50302', 'N43001', 'N38783']"
U75155,"['N306', 'N2309', 'N58698', 'N8448', 'N5905', 'N23614']","['N36545', 'N14780', 'N61463', 'N9139', 'N32544', 'N26262', 'N21656', 'N41020', 'N30475', 'N30518', 'N43519', 'N6056', 'N32182', 'N60105', 'N58271', 'N59981', 'N21519', 'N31978', 'N30870']"
U25285,"['N59673', 'N38668']",[]
U14957,"['N52381', 'N48610', 'N60702']","['N38311', 'N54752', 'N27737', 'N59267', 'N36612', 'N34185', 'N33828', 'N29212', 'N41934', 'N31679', 'N48487', 'N62894']"
U8964,"['N306', 'N64273', 'N51692', 'N871']","['N6056', 'N41020', 'N32544', 'N32182', 'N3344']"
U25208,"['N16317', 'N48076']","['N41881', 'N5442', 'N27845', 'N24272']"
U80589,"['N306', 'N61388', 'N40344']","['N6056', 'N41020', 'N32544', 'N32182', 'N31978', 'N3344']"
U72204,['N5442'],"['N24272', 'N26130']"
U17974,"['N41881', 'N62714', 'N55897', 'N35753']","['N6066', 'N62563', 'N25471', 'N14592', 'N261', 'N30475', 'N31978', 'N3344', 'N60186']"
U42005,"['N48715', 'N64273', 'N29985', 'N17498']","['N2046', 'N26262', 'N41172', 'N61623', 'N21701', 'N59673', 'N37185', 'N20428', 'N4754', 'N33831', 'N14592', 'N59385', 'N4642', 'N21420', 'N3344', 'N21712', 'N62894']"
U48261,"['N24578', 'N43386', 'N26880']","['N26262', 'N59673', 'N20428', 'N4754', 'N14592', 'N59385', 'N21420', 'N3344']"
U50351,['N42128'],"['N39949', 'N2823', 'N31978', 'N30475', 'N3344', 'N59761', 'N60186']"
U5515,"['N16317', 'N19096', 'N41172']","['N48705', 'N41172', 'N6916', 'N47748', 'N21712', 'N4404', 'N14170', 'N4754', 'N33831', 'N4642', 'N41612', 'N16148']"
U16477,"['N36530', 'N13156', 'N52585', 'N8448', 'N41197']","['N6056', 'N26262', 'N38311', 'N41172', 'N3841', 'N63538', 'N3697', 'N33964', 'N38483', 'N8957', 'N2823', 'N59981', 'N33831', 'N30475', 'N55204', 'N17140', 'N58410', 'N18698']"
U983,"['N3560', 'N15122', 'N18106', 'N60702', 'N35829']","['N4912', 'N63538', 'N59981']"
U24202,[],"['N62318', 'N54752', 'N41387', 'N34185', 'N1539', 'N62750']"
U26856,['N43291'],"['N54752', 'N62750', 'N55325']"
U73856,"['N40716', 'N10414']","['N34185', 'N62318', 'N1539']"
U78029,"['N38298', 'N9554', 'N32939']","['N13930', 'N55204', 'N30998']"
U31574,"['N35009', 'N3908', 'N16545']","['N46477', 'N43587', 'N52294', 'N6916', 'N39949', 'N61623', 'N23008', 'N14170', 'N62563', 'N33831', 'N21701', 'N21420', 'N41612', 'N16148', 'N59761', 'N60186']"
U16988,"['N55599', 'N45597', 'N17254', 'N30531', 'N12367', 'N51705', 'N1539', 'N5905', 'N47922', 'N4593', 'N37748', 'N15655']","['N62318', 'N41387', 'N39949', 'N55943', 'N29212', 'N62750']"
U58202,"['N5442', 'N1202']","['N24272', 'N27845', 'N38783']"
U23270,"['N29177', 'N43519', 'N22161', 'N10986', 'N11282', 'N31364']","['N6056', 'N21656', 'N41020', 'N32544', 'N23547', 'N32182', 'N60105', 'N31978']"
U39358,"['N48705', 'N54090']","['N4642', 'N21420', 'N33831', 'N4404']"
U51474,"['N306', 'N56244', 'N26262', 'N21015', 'N32544', 'N16965', 'N64536', 'N64273', 'N38802', 'N723', 'N6869', 'N55582', 'N8845', 'N35753']","['N41020', 'N18406', 'N32182', 'N59981', 'N31978', 'N51187', 'N3344', 'N30518']"
U82428,['N13930'],"['N33964', 'N55204', 'N41172', 'N30998']"
